GEOID,INDUSTRY_CODE,SOURCE_NAICS,ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT_NOISE_FLAG,FIRST_QUARTER_PAYROLL_THOUSANDS,FIRST_QUARTER_PAYROLL_NOISE_FLAG,ANNUAL_PAYROLL_THOUSANDS,ANNUAL_PAYROLL_NOISE_FLAG
01013,81,81----,35,117,H,882,H,3677,G
01015,TOTAL,------,2232,34577,G,381354,G,1464700,G
01015,11,11----,13,90,G,1137,G,4649,G
01015,22,22----,5,164,J,6067,J,17526,J
01015,23,23----,137,957,G,11293,G,57199,G
01015,31,31----,93,6450,G,115009,G,379738,G
01015,42,42----,92,1377,H,20302,H,80893,G
01015,44,44----,447,6627,G,56202,G,213148,G
01015,48,48----,72,1145,G,13329,G,55670,G
01015,51,51----,36,352,G,5138,G,18645,G
01015,52,52----,152,885,H,17919,G,63874,G
01015,53,53----,77,539,H,4843,G,21001,H
01015,54,54----,154,1057,H,14429,G,58333,G
01015,55,55----,9,45,G,919,H,4665,H
01015,56,56----,104,1781,G,13128,G,53262,G
01015,61,61----,17,814,H,6534,H,26048,H
01015,62,62----,283,5467,H,60883,H,267933,H
01015,71,71----,23,295,G,1488,G,6097,H
01015,72,72----,240,4922,G,21493,G,88862,G
01015,81,81----,275,1552,G,10284,G,43141,G
01017,TOTAL,------,572,7897,G,89861,G,369599,G
01017,11,11----,24,178,G,2418,G,10242,G
01017,22,22----,3,79,G,1489,H,6390,H
01017,23,23----,45,178,G,2043,H,9965,H
01017,31,31----,28,2518,G,39140,G,161295,G
01017,42,42----,16,144,H,3121,H,10581,H
01017,44,44----,114,1082,G,8127,H,33157,H
01017,48,48----,13,365,H,4926,H,22820,J
01017,51,51----,4,74,H,1407,H,4881,H
01017,52,52----,29,116,J,1472,J,6058,H
01017,53,53----,16,28,H,252,G,1030,G
01017,54,54----,30,240,H,2211,H,9788,H
01017,56,56----,41,764,H,5336,H,19743,H
01017,61,61----,3,120,G,720,G,3029,G
01017,62,62----,51,995,H,11496,H,49321,H
01017,71,71----,3,3,J,26,J,113,H
01017,72,72----,59,749,G,3739,G,13502,G
01017,81,81----,92,263,G,1932,G,7656,G
01019,TOTAL,------,391,4338,G,42151,G,167779,G
01019,11,11----,6,51,J,453,H,1883,G
01019,23,23----,27,133,G,2035,H,7542,H
01019,31,31----,23,784,H,10379,H,38440,H
01019,42,42----,14,127,H,1472,H,6254,H
01019,44,44----,74,893,H,7718,H,29146,H
01019,48,48----,22,118,G,1284,G,5081,G
01019,51,51----,6,37,H,501,G,1984,G
01019,52,52----,29,111,G,1262,H,5098,G
01019,53,53----,12,17,G,226,J,1112,H
01019,54,54----,25,81,J,585,G,2323,G
01019,56,56----,11,421,H,2170,H,10026,H
01019,62,62----,59,723,J,8234,H,34931,H
01019,71,71----,5,25,J,123,J,584,J
01019,72,72----,36,568,G,2222,G,9240,G
01019,81,81----,39,154,H,889,G,3895,G
01021,TOTAL,------,806,7784,G,87034,H,339681,G
01021,11,11----,12,86,G,1147,G,5152,G
01021,22,22----,6,95,H,2468,H,8096,G
01021,23,23----,97,518,G,6941,G,35645,G
01021,31,31----,43,1800,J,28250,H,95684,H
01021,42,42----,28,428,H,5098,H,22493,H
01021,44,44----,148,1607,G,14780,H,57252,H
01021,48,48----,42,238,H,3238,G,11739,G
01021,51,51----,12,47,H,797,J,2837,J
01021,52,52----,48,177,H,2600,G,10608,G
01021,53,53----,29,69,G,680,G,3057,G
01021,54,54----,44,137,G,1616,G,6519,G
01021,56,56----,27,189,H,1853,H,7388,H
01021,62,62----,73,767,H,9478,H,39424,H
01021,71,71----,7,79,G,321,G,1434,G
01021,72,72----,61,975,G,4164,G,17408,G
01021,81,81----,124,558,G,3419,G,14153,G
01023,TOTAL,------,243,2683,G,39712,H,167290,H
01023,11,11----,18,269,G,3894,G,16162,G
01023,23,23----,19,178,G,2425,G,9944,G
01023,31,31----,7,987,J,22630,J,96566,J
01023,42,42----,4,40,J,366,J,1629,J
01023,44,44----,49,351,H,2005,G,8330,H
01023,48,48----,19,118,G,2122,G,8706,G
01023,51,51----,4,16,J,123,J,539,J
01023,52,52----,14,71,H,777,H,3422,H
01023,53,53----,4,5,J,45,J,184,H
01023,54,54----,15,47,H,393,H,1713,H
01023,56,56----,5,15,G,118,J,494,J
01023,62,62----,22,258,H,2860,H,11570,G
01023,71,71----,3,3,G,35,J,141,J
01023,72,72----,18,115,H,464,H,2039,H
01023,81,81----,39,120,H,799,H,2934,H
01025,TOTAL,------,581,6615,G,89224,G,346199,G
01025,11,11----,28,258,G,3845,G,15746,G
01025,21,21----,3,58,H,821,H,3518,H
01025,23,23----,28,123,G,1613,H,6949,H
01025,31,31----,23,1438,G,34735,G,129424,H
01025,42,42----,17,259,H,3381,G,13095,G
01025,44,44----,124,1401,G,11913,G,43765,G
01025,48,48----,31,191,H,2796,H,11361,H
01025,51,51----,15,55,G,627,J,2310,J
01025,52,52----,64,281,H,4219,G,16179,G
01025,53,53----,19,117,G,4766,J,19704,H
01025,54,54----,27,80,H,912,H,3953,H
01025,56,56----,17,98,H,873,G,3749,G
01025,61,61----,5,112,G,598,G,2481,G
01025,62,62----,52,1081,G,11750,G,47998,G
01025,71,71----,3,8,J,19,J,168,H
01025,72,72----,58,751,G,3252,G,12995,G
01025,81,81----,62,262,G,1776,G,7284,G
01027,TOTAL,------,192,3666,H,38740,H,148714,H
01027,11,11----,12,51,H,542,G,2208,G
01027,23,23----,16,65,J,658,H,3279,H
01027,31,31----,12,2020,H,25423,H,94651,H
01027,44,44----,39,313,G,1914,G,7369,G
01027,48,48----,10,36,G,332,G,1483,G
01027,52,52----,11,100,J,1162,H,5357,H
01027,53,53----,5,8,G,43,J,200,H
01027,54,54----,9,55,J,486,H,1792,J
01027,56,56----,5,101,H,285,G,1557,G
01027,62,62----,20,498,H,5184,H,20027,H
01027,72,72----,14,167,H,499,G,2172,G
01027,81,81----,31,137,G,677,G,2653,G
01029,TOTAL,------,186,2022,G,24217,G,106420,G
01029,11,11----,4,16,J,230,G,1000,G
01029,23,23----,24,536,G,8308,G,39312,G
01029,31,31----,14,392,G,6675,H,27253,H
01029,42,42----,5,47,J,466,H,2192,H
01029,44,44----,46,472,G,4575,G,20105,G
01029,48,48----,10,19,J,177,G,639,G
01029,51,51----,4,17,J,216,H,946,H
01029,52,52----,8,31,H,464,G,1816,G
01029,53,53----,3,4,G,27,J,101,H
01029,54,54----,13,75,J,488,G,2143,G
01029,56,56----,4,5,J,44,J,194,J
01029,62,62----,14,139,H,1070,G,4420,G
01029,72,72----,13,161,G,613,G,2621,G
01029,81,81----,23,105,G,852,G,3606,G
01031,TOTAL,------,1022,15245,G,157348,G,665896,G
01031,11,11----,4,24,H,325,G,1494,G
01031,22,22----,3,50,J,1072,G,3956,G
01031,23,23----,79,421,G,4024,G,17610,G
01031,31,31----,36,3325,G,35472,G,160589,G
01031,42,42----,27,475,H,8573,H,37266,H
01031,44,44----,204,2624,G,22570,G,89574,G
01031,48,48----,24,328,H,4208,H,17480,H
01031,51,51----,14,112,J,1393,H,5869,H
01031,52,52----,78,478,G,8522,H,31851,G
01031,53,53----,51,201,G,2045,G,10334,G
01031,54,54----,69,977,G,21542,H,89753,H
01031,56,56----,50,1096,H,9336,H,39142,H
01031,61,61----,10,88,H,696,H,3023,H
01031,62,62----,102,2097,G,22774,G,97048,G
01031,71,71----,11,149,H,525,H,2237,H
01031,72,72----,125,2050,G,8559,G,36353,G
01031,81,81----,131,698,G,4743,G,18528,G
01033,TOTAL,------,1268,23237,G,289083,G,1137351,G
01033,11,11----,5,18,J,227,H,1040,H
01033,21,21----,6,123,J,2427,J,9643,J
01033,23,23----,112,2187,H,32056,G,115415,G
01033,31,31----,89,6025,H,102702,J,405429,J
01033,42,42----,78,803,G,13515,G,52888,G
01033,44,44----,237,2836,G,27594,G,106382,G
01033,48,48----,38,520,G,6995,G,29256,G
01033,51,51----,18,131,H,2299,H,8601,H
01033,52,52----,86,681,H,11267,H,42779,H
01033,53,53----,51,142,G,1687,H,7152,G
01033,54,54----,70,324,G,3636,G,15890,G
01033,55,55----,3,30,J,521,H,4524,G
01033,56,56----,51,2880,H,27266,H,93327,H
01033,61,61----,6,77,G,444,G,1767,G
01033,62,62----,136,3061,G,38588,H,169597,H
01033,71,71----,20,162,J,731,H,3107,H
01033,72,72----,113,2217,G,8295,G,34329,G
01033,81,81----,147,1013,G,8753,G,35881,G
01035,TOTAL,------,204,2412,G,23886,H,102616,H
01035,11,11----,22,156,G,2367,H,9219,H
01035,23,23----,13,73,H,766,G,3556,G
01035,31,31----,12,643,H,7765,H,35326,H
01035,42,42----,7,84,G,1305,G,5607,G
01035,44,44----,34,343,G,2056,G,8634,G
01035,48,48----,17,182,H,2388,G,9824,G
01035,51,51----,5,16,G,165,G,674,G
01035,52,52----,10,32,H,418,G,1740,G
01035,53,53----,5,6,J,33,H,141,G
01035,54,54----,10,18,G,178,G,671,G
01035,56,56----,7,25,H,134,G,643,G
01035,62,62----,19,402,G,3992,H,16410,G
01035,72,72----,13,301,H,1109,H,5303,H
01035,81,81----,22,55,H,385,H,1555,H
01037,TOTAL,------,97,1341,G,14187,G,52494,G
01037,11,11----,4,71,J,813,H,2466,J
01037,23,23----,11,39,H,447,G,2546,G
01037,31,31----,5,481,J,7276,J,25704,J
01037,42,42----,4,51,H,803,H,3415,G
01037,44,44----,19,443,J,2881,J,9722,J
01037,48,48----,3,4,J,44,H,159,G
01037,52,52----,4,10,J,94,G,410,G
01037,53,53----,7,10,J,37,J,188,J
01037,54,54----,8,17,G,115,H,639,H
01037,56,56----,4,35,J,464,J,1898,J
01037,62,62----,4,127,J,961,J,3923,J
01037,72,72----,4,6,G,8,J,415,J
01037,81,81----,16,28,H,127,H,539,H
01039,TOTAL,------,864,9841,G,106882,G,435033,G
01039,11,11----,11,67,H,1179,G,5389,G
01039,23,23----,78,433,H,5098,H,22838,G
01039,31,31----,34,1865,H,21827,H,85610,H
01039,42,42----,33,491,H,5387,H,24268,H
01039,44,44----,191,1690,G,13949,G,54910,G
01039,48,48----,29,279,H,4278,H,19610,H
01039,51,51----,13,88,J,1041,H,3848,H
01039,52,52----,57,313,H,4983,H,18278,H
01039,53,53----,32,93,H,755,G,3261,G
01039,54,54----,64,346,G,4278,G,18535,G
01039,56,56----,38,500,J,4021,H,17094,H
01039,61,61----,3,10,J,22,G,180,G
01039,62,62----,93,1649,G,18870,H,78838,H
01039,71,71----,10,51,J,259,J,1330,J
01039,72,72----,76,1037,G,4309,G,17143,G
01039,81,81----,98,514,G,4158,G,17103,G
01041,TOTAL,------,221,2862,G,30407,G,138020,G
01041,11,11----,15,122,G,1690,G,7665,G
01041,23,23----,22,119,G,1260,G,5947,G
01041,31,31----,7,822,G,10348,G,49673,G
01041,42,42----,10,231,J,2916,J,12480,J
01041,44,44----,41,259,G,1668,G,6895,G
01041,48,48----,23,107,G,1382,H,6433,H
01041,52,52----,12,87,G,1325,G,5232,G
01041,53,53----,8,7,G,46,H,223,J
01041,54,54----,13,34,J,465,G,1937,H
01041,56,56----,7,228,J,1686,J,10142,J
01041,62,62----,17,433,H,4368,H,19320,H
01041,72,72----,12,220,G,807,G,3322,G
01041,81,81----,27,91,G,676,G,2733,G
01043,TOTAL,------,1867,27591,G,321437,G,1303175,G
01043,11,11----,11,66,H,758,H,3084,H
01043,22,22----,5,151,H,3804,J,14262,J
01043,23,23----,220,1347,G,17040,G,75778,G
01043,31,31----,102,5696,G,78736,G,334483,G
01043,42,42----,86,1507,H,22837,H,88058,H
01043,44,44----,351,4475,G,38888,G,150202,G
01043,48,48----,88,2095,J,30397,J,107675,H
01043,51,51----,24,240,H,3263,G,12356,G
01043,52,52----,122,783,H,17292,G,63871,G
01043,53,53----,59,176,G,2141,H,9268,H
01043,54,54----,114,673,G,7262,G,31528,G
01043,55,55----,5,627,J,12500,J,44865,J
01043,56,56----,79,1229,G,10406,G,42178,G
01043,61,61----,11,92,G,539,H,2333,H
01043,62,62----,218,3509,H,47404,H,202840,H
01043,71,71----,15,113,G,802,G,3503,G
01043,72,72----,151,3398,G,15429,G,65524,G
01043,81,81----,206,1414,G,11939,G,51367,G
01045,TOTAL,------,716,8328,G,90245,G,377320,G
01045,11,11----,5,50,J,648,H,2853,H
01045,22,22----,4,97,H,2458,G,9008,H
01045,23,23----,59,629,G,8472,G,37831,G
01045,31,31----,30,544,G,6948,G,29719,G
01045,42,42----,14,129,G,1763,G,7783,G
01045,44,44----,136,1349,G,11205,G,41207,G
01045,48,48----,33,776,J,11469,J,46257,J
01045,51,51----,11,37,H,440,G,1796,G
01045,52,52----,41,427,J,5472,H,26624,H
01045,53,53----,33,169,J,2221,H,8619,H
01045,54,54----,67,490,J,8296,H,34582,H
01045,56,56----,34,562,H,7601,H,31377,H
01045,61,61----,9,62,J,921,J,3984,J
01045,62,62----,66,1361,H,13362,H,58005,H
01045,71,71----,8,27,J,228,H,818,H
01045,72,72----,79,1095,G,5340,G,22035,G
01045,81,81----,83,509,G,3234,H,14205,G
01047,TOTAL,------,651,9170,G,108159,G,423223,G
01047,11,11----,11,47,H,676,G,3001,G
01047,22,22----,3,69,J,1768,J,5817,J
01047,23,23----,39,372,G,4923,G,26890,G
01047,31,31----,33,3143,G,53862,H,194466,H
01047,42,42----,23,193,H,2372,H,9798,H
01047,44,44----,136,1350,H,10632,H,39437,H
01047,48,48----,15,98,G,1223,G,4999,G
01047,51,51----,15,83,J,988,H,3675,H
01047,52,52----,40,219,H,3483,H,13751,H
01047,53,53----,20,57,J,477,H,1964,H
01047,54,54----,56,199,H,1964,G,8989,G
01047,56,56----,18,291,J,1819,J,7846,J
01047,61,61----,4,124,H,645,H,2671,H
01047,62,62----,81,1352,H,15103,H,66218,H
01047,71,71----,7,33,J,185,J,767,J
01047,72,72----,55,737,G,3201,G,13407,G
01047,81,81----,92,761,H,4279,H,17200,H
01049,TOTAL,------,1165,20004,G,260319,G,1013081,G
01049,11,11----,4,14,J,123,J,653,J
01049,23,23----,92,624,G,7743,G,34461,G
01049,31,31----,98,7559,G,135561,G,448839,G
01049,42,42----,45,638,G,9966,H,40442,H
01049,44,44----,255,2769,G,21365,G,87304,G
01049,48,48----,39,1384,J,24008,H,130137,J
01049,51,51----,19,197,J,3031,H,12901,J
01049,52,52----,83,385,H,4655,G,19272,G
01049,53,53----,33,267,H,3099,H,12176,H
01049,54,54----,71,316,G,3517,G,15988,G
01049,55,55----,3,31,H,514,H,3286,H
01049,56,56----,48,908,H,7035,G,35198,G
01049,61,61----,3,96,J,349,J,1375,J
01049,62,62----,131,2449,G,25244,G,109566,G
01049,71,71----,12,65,G,370,G,1751,G
01049,72,72----,103,1748,G,8219,G,37391,G
01049,81,81----,122,465,H,3204,G,13436,G
01051,TOTAL,------,1305,15513,G,156180,G,632369,G
01051,11,11----,9,63,H,1213,H,4347,H
01051,21,21----,5,47,J,715,J,2948,J
01051,22,22----,12,131,G,2999,H,10342,H
01051,23,23----,163,1042,G,13189,G,53897,G
01051,31,31----,50,2898,G,40544,G,174967,G
01051,42,42----,38,320,G,3937,G,16526,G
01051,44,44----,222,2782,H,23243,H,87264,G
01051,48,48----,35,280,H,2675,G,9461,G
01051,51,51----,19,55,H,962,H,3925,H
01051,52,52----,82,367,G,5450,G,20308,G
01051,53,53----,59,206,H,3899,H,11311,H
01051,54,54----,100,373,G,4291,G,19441,G
01051,56,56----,62,290,G,3475,G,13803,G
01051,61,61----,8,259,H,2050,H,8613,H
01051,62,62----,116,2252,G,21423,G,87605,G
01051,71,71----,16,89,G,498,G,2237,H
01051,72,72----,135,3131,H,18861,H,77055,H
01051,81,81----,172,924,G,6685,G,28023,G
01053,TOTAL,------,755,9975,G,114896,G,447742,G
01053,11,11----,17,192,G,2773,G,11623,G
01053,21,21----,4,189,J,3784,J,13585,J
01053,22,22----,5,84,H,1623,H,6175,H
01053,23,23----,65,647,H,13317,H,47108,H
01053,31,31----,41,1740,G,27658,G,114909,G
01053,42,42----,25,150,G,2320,G,9779,G
01053,44,44----,163,1763,G,14272,G,53623,G
01053,48,48----,21,558,H,7151,G,24988,G
01053,51,51----,18,126,J,1372,H,4956,H
01053,52,52----,69,308,J,4634,H,17817,H
01053,53,53----,29,73,J,574,G,2341,G
01053,54,54----,41,249,H,2770,H,10171,H
01053,55,55----,4,49,J,1588,J,4249,J
01053,56,56----,24,231,G,2257,G,9840,G
01053,62,62----,65,1316,G,13446,H,56447,H
01053,71,71----,3,76,J,354,J,912,H
01053,72,72----,68,1813,H,12623,H,49075,H
01053,81,81----,90,383,G,2230,G,9529,G
01055,TOTAL,------,1954,28155,G,287083,G,1182838,G
01055,11,11----,4,9,J,74,G,326,G
01055,22,22----,9,156,J,4234,J,13682,J
01055,23,23----,137,985,G,13439,G,58330,G
01055,31,31----,86,4037,G,44361,G,181214,G
01055,42,42----,74,1151,G,15424,G,66000,G
01055,44,44----,379,4843,G,38630,G,152322,G
01055,48,48----,51,847,G,12584,G,51122,G
01055,51,51----,28,195,H,2857,H,10934,H
01055,52,52----,141,990,G,16117,G,61650,G
01055,53,53----,61,237,G,2451,G,9937,G
01055,54,54----,128,678,G,8661,G,35154,G
01055,55,55----,8,51,J,1048,G,5954,G
01055,56,56----,87,1356,H,12453,H,56959,H
01055,61,61----,11,233,G,1358,G,5416,G
01055,62,62----,299,6736,G,85184,G,360399,G
01055,71,71----,18,337,G,1293,H,5594,H
01055,72,72----,196,3819,G,16856,G,67474,G
01055,81,81----,235,1478,G,9704,G,38970,G
01057,TOTAL,------,277,3269,G,34496,G,134679,G
01057,11,11----,13,85,H,678,G,2768,G
01057,21,21----,5,29,H,501,J,1992,J
01057,23,23----,22,110,G,1014,H,2335,H
01057,31,31----,18,1002,G,13674,G,50912,G
01057,42,42----,5,22,H,353,J,1979,J
01057,44,44----,55,530,H,4251,H,15227,H
01057,48,48----,15,32,J,418,H,1877,H
01057,51,51----,6,22,G,276,G,1139,H
01057,52,52----,15,56,J,893,J,3537,J
01057,53,53----,5,13,J,115,J,537,H
01057,54,54----,19,73,J,668,H,6088,G
01057,62,62----,39,641,G,6858,G,28011,H
01057,71,71----,3,3,J,19,G,84,G
01057,72,72----,26,372,G,1219,G,5184,G
01057,81,81----,27,210,G,2445,H,9351,H
01059,TOTAL,------,539,11039,H,113718,H,456514,H
01059,11,11----,13,61,G,713,G,3194,G
01059,21,21----,3,47,J,636,J,2788,J
01059,23,23----,48,204,G,2181,G,9047,G
01059,31,31----,38,6569,J,72796,J,290685,J
01059,42,42----,17,110,G,1251,G,4294,G
01059,44,44----,100,1003,H,7470,H,28609,H
01059,48,48----,24,91,H,950,G,3953,G
01059,51,51----,9,35,H,538,H,1779,H
01059,52,52----,53,352,H,5243,H,19740,H
01059,53,53----,20,44,H,266,H,1263,H
01059,54,54----,26,135,G,1515,G,6098,G
01059,55,55----,4,25,G,826,J,2276,H
01059,56,56----,13,332,J,3049,J,14513,J
01059,62,62----,50,904,H,10795,H,45220,H
01059,71,71----,6,16,G,101,G,370,G
01059,72,72----,47,816,G,2903,G,12123,G
01059,81,81----,64,269,G,1905,G,8242,G
01061,TOTAL,------,424,4098,G,37620,G,151069,G
01061,23,23----,62,232,H,2118,H,9277,H
01061,31,31----,23,777,J,7545,J,30532,J
01061,42,42----,16,490,H,8524,H,33776,H
01061,44,44----,82,831,G,5225,H,20473,G
01061,48,48----,13,73,G,511,G,2168,H
01061,51,51----,7,18,J,175,J,658,J
01061,52,52----,30,148,J,1811,H,6833,H
01061,53,53----,13,30,H,254,G,952,G
01061,54,54----,29,104,G,872,H,3488,H
01061,56,56----,19,171,J,1214,J,4910,J
01061,62,62----,36,593,H,5219,H,20990,H
01061,72,72----,33,382,G,1447,G,5904,G
01061,81,81----,52,147,J,877,G,3507,G
01063,TOTAL,------,90,1502,G,14969,H,59191,H
01063,11,11----,3,23,G,269,G,1124,G
01063,23,23----,6,96,H,1921,G,7545,G
01063,31,31----,9,554,J,6296,J,24717,J
01063,42,42----,3,19,J,279,H,1486,H
01063,44,44----,21,247,H,1549,H,6244,H
01063,48,48----,5,13,G,131,G,510,H
01063,52,52----,5,32,J,400,H,1658,H
01063,54,54----,3,10,J,63,J,268,J
01063,62,62----,9,218,H,2247,J,8783,J
01063,71,71----,5,138,H,733,H,2865,H
01063,72,72----,4,14,J,72,J,268,J
01063,81,81----,11,110,H,618,H,2340,H
01065,TOTAL,------,183,1904,H,26935,H,96241,H
01065,11,11----,11,77,G,1218,G,5001,G
01065,23,23----,26,203,H,2182,H,9600,H
01065,31,31----,10,466,J,12588,J,37305,J
01065,42,42----,4,18,J,312,H,1390,H
01065,44,44----,40,252,H,2028,H,8195,G
01065,48,48----,16,39,H,490,H,1742,H
01065,52,52----,9,63,G,866,G,3700,G
01065,53,53----,6,5,J,17,J,112,G
01065,54,54----,8,66,H,837,H,2967,H
01065,56,56----,3,12,J,101,J,491,J
01065,61,61----,3,48,J,287,J,1391,H
01065,62,62----,15,408,H,4397,H,17858,H
01065,72,72----,11,178,H,765,H,3169,H
01065,81,81----,15,39,H,240,H,1279,G
01067,TOTAL,------,311,4087,H,89072,J,316391,H
01067,11,11----,16,143,G,1404,G,5504,G
01067,22,22----,5,1056,J,54511,J,152214,J
01067,23,23----,29,141,J,1648,H,7337,H
01067,31,31----,9,281,G,4478,G,17371,H
01067,42,42----,12,152,G,2353,G,9623,G
